Timestamp,"16Personalities Quiz. You will need to first take the quiz located at https://www.16personalities.com/. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.","What is your major? (Please type out your full major name based on USC Catalogue, e.g. 'Computer Science', 'Business Administration')  ",If applicable.  What is your 2nd major? (Please type out the full major name),"What is your minor? (Please type out the full minor name based on USC Catalogue, e.g. 'Applied Analytics') ","If applicable, what is your 2nd minor? (Please type our the full minor name)",Are you in the Progressive Degree Program (PDP)?,What is your graduation year?,What is your class standing?,What is your GPA?,How many units are you taking this semester? Please enter a number.,Are you a transfer student?,Are you an international student?,What is your plan for after graduation?,What industry are you going into or planning on going into after graduation?,What role are you going into or planning on going into after graduation? Please choose the one that best fits.,"On a scale of 1-5, with 5 being the highest, how would you rate your USC academic experience?","On average, how many USC football games do you attend per season?",Are you or have you ever been actively part of a social fraternity/sorority at USC?,Are you or have you ever been actively part of a professional fraternity/sorority at USC?,"Are you or have you ever been actively part of a professional organization or regularly attend/observe professional activities/events?  E.g. LACI, Trojan Marketing, LavaLabs, etc.",Are you or have you ever been actively part of a cultural student organization or regularly attend/observe cultural activities/events?  E.g. Korea Student Association.,Are you or have you ever been actively part of a religious student organization or regularly attend/observe religious activities/events?,Are you part of a sports student organization or regularly participate in organized sports? e.g. Club Soccer,"On a scale of 1-5, with 5 being the highest, how would you rate your USC social experience?","Approximately, what % of your tuition was covered by merit scholarships?",Have you ever held a paid job during any semester at USC?,"During this semester, what percentage of your available time do you spend working (paid or non-paid)?","During this semester, what percentage of your available time do you spend with your friends (online or in-person)?","During this semester, what percentage of your available time do you spend with your family (online or in-person)?",Do you prefer to study alone? (vs. studying in a group),"During this semester, what percentage of your available time do you spend on classwork outside of class?","On a scale of 1-5, with 5 being the highest, how would you rate your overall USC experience?",What is your gender?,What is your age? (Please only enter a number),"Your home country. Please enter the 2-letter country abbreviation. (United States = US, China = CN) You can find the list of abbreviations here: https://www.iban.com/country-codes  ","If your home country is US, what is the zip code of your childhood home? (If the US is not your home country, type in 'N/A') ",Do you consider California your home?,How many languages are you proficient in conversionally?,"What are your primary form(s) of learning about current events? (e.g. what is viral, news, entertainment)",Do you consider yourself someone who loves to travel?,Do you consider yourself a foodie?,Have you prioritized purchasing based on the sustainability of the brand or product?,Do you carry and use a reusable water bottle?,"What percentage of your meals during the semester are purchased from a delivery service (i.e. Uber Eats, Postmates, etc.)?","What percentage of your transportation during the semester was using a ride-sharing service (i.e. Uber, Lyft, etc.)?  Exclude USC's free Lyft program."
4/4/24 14:49,ESFP-T,Business Administration,,Applied Analytics,,No,2025,Junior,3.63,16,No,No,Work,Consulting,Business/Corporate Services,4,4-Jan,No,No,Yes,No,No,No,4,0%,Yes,10-20%,20-30%,≤ 10%,Yes,10-20%,4,Female,20,US,92602,Yes,2,"Instagram, Tiktok",Yes,Yes,Yes,Yes,25%,75%
4/4/24 14:54,ISFJ-T,International Relations (Global Business),,Data Science,,Yes,2025,Junior,4,18,No,No,Work,Finance: Accounting,Finance Management,4,4-Jan,No,No,Yes,No,No,No,3,0%,Yes,> 50%,10-20%,≤ 10%,Yes,20-30%,3,Female,21,US,95129,Yes,2,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,25%
4/4/24 15:01,ENFP-T," Biomedical Engineering, Molecular and Cellular Engineering Emphasis",,Applied Analytics,,No,2024,Senior,3.4,18,No,No,Work,Pharmaceuticals/Biotech/Medical Devices,Engineering,3,8+,Yes,No,Yes,No,No,No,4,0%,Yes,30-40%,20-30%,≤ 10%,Yes,20-30%,4,Female,22,US,55419,No,1,News Sites (e.g. Wall Street Journal),Yes,Yes,Yes,Yes,25%,25%
4/4/24 15:06,ENFJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.8,16,No,Yes,Work,Media/Communications,Marketing,4,0,No,No,No,Yes,Yes,No,4,0%,No,10-20%,30-40%,10-20%,Yes,20-30%,4,Female,21,TW,N/A,Yes,2,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,75%,75%
4/4/24 15:07,ESTJ-T,Biochemistry,,Applied Analytics,,No,2025,Junior,3.98,18,No,No,Graduate School,Health Care,Other,3,4-Jan,No,No,Yes,No,Yes,Yes,3,50%,No,> 50%,10-20%,10-20%,Yes,> 50%,3,Male,21,US,94303,Yes,2,"Instagram, Google News, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,0%,0%
4/4/24 15:13,ESTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.24,18,No,No,Work,Finance: Asset Management,Business/Corporate Services,4,4-Jan,Yes,No,Yes,No,No,No,4,25%,Yes,10-20%,10-20%,≤ 10%,Yes,> 50%,4,Female,21,US,11968,No,2,"Instagram, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,75%
4/4/24 15:13,INFJ-A,Data Science,Health and Human Sciences,Web Development,,No,2024,Senior,3.88,12,No,No,Graduate School,Technology: Software/Internet,Engineering,4,4-Jan,No,No,No,No,Yes,No,3,75%,Yes,20-30%,10-20%,> 50%,Yes,30-40%,4,Female,22,US,94010,Yes,3,"Instagram, X, Tiktok, TV, Youtube",Yes,Yes,No,Yes,0%,25%
4/4/24 15:20,ISFJ-T,Communication,,Business Finance,Applied Analytics,No,2024,Senior,3.9,20,No,Yes,Work,Consulting,"Planning, Policy, and Strategy",4,4-Jan,No,No,Yes,Yes,No,No,5,0%,Yes,20-30%,30-40%,10-20%,Yes,20-30%,5,Female,22,CN,N/A,No,2,Instagram,Yes,No,No,Yes,0%,25%
4/4/24 15:49,ESFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.82,16,No,No,Work,Finance: Asset Management,Finance Management,3,8-May,Yes,No,No,No,Yes,Yes,3,0%,Yes,10-20%,30-40%,≤ 10%,Yes,10-20%,4,Male,21,US,7059,No,1,"Instagram, X, Youtube",Yes,Yes,No,Yes,0%,25%
4/4/24 15:50,ENTJ-A,Economics and Mathematics,,Applied Analytics,Music Recording,No,2025,Junior,3.71,16,No,No,Work,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",4,0,No,No,No,No,No,No,4,0%,Yes,10-20%,> 50%,≤ 10%,Depends,20-30%,5,Male,20,US,84043,No,2,News Sites (e.g. Wall Street Journal),Yes,Yes,No,Yes,25%,100%
